level1,level2,level3,level4,level5,level6,ru,abstract,counts,also,correlated,anti-correlated,description
,,Aircraft,,,,Самолет,False,"248,53,25,8,2,5,0,2,0,0,1,0,0,1,0,0,0,0,0",,"{""Field recording"": ""0.45"", ""Heavy engine (low frequency)"": ""0.33"", ""Ship"": ""0.31"", ""Car"": ""0.31""}",{},Sound of vehicles that fly by gaining support from the air.
,,,Aircraft engine,,,Авиационный двигатель,False,"18,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Fixed-wing aircraft, airplane"": ""0.75""}",{},"The sound of the part of an aircraft that generates mechanical power. Aircraft engines are almost always lightweight piston engines, gas turbines, or, in small multicopter UAVs, electric motors."
,,,,Jet engine,,Реактивный двигатель,False,"7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Sounds of things/Engine/Jet engine""","{""Fixed-wing aircraft, airplane"": ""0.47""}",{},The sound of an internal combustion airbreathing engine that generates thrust by discharging a fast-moving jet of gas. Jet aircraft use such engines for long-distance travel.
,,,,"Propeller, airscrew",,"Винт, воздушный винт",False,"34,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Fixed-wing aircraft, airplane"": ""0.58"", ""Motorboat, speedboat"": ""0.35"", ""Heavy engine (low frequency)"": ""0.33"", ""Helicopter"": ""0.31""}",{},The sound of an aircraft propulsion system that converts rotary motion from an engine via a rotating set of blades into forward thrust through the air.
,,,Helicopter,,,Вертолет,False,"63,19,9,3,4,4,1,2,1,1,0,0,0,0,0,0,0,0,0",,"{""Propeller, airscrew"": ""0.31""}",{},"Sounds of a type of rotorcraft in which lift and thrust are supplied by rotors. This allows the helicopter to take off and land vertically, to hover, and to fly forward, backward, and laterally."
,,,"Fixed-wing aircraft, airplane",,,"Самолет с неподвижным крылом, самолет",False,"194,44,17,3,3,2,1,1,1,0,0,1,0,0,0,0,0,0,0",,"{""Aircraft engine"": ""0.75"", ""Propeller, airscrew"": ""0.58"", ""Field recording"": ""0.50"", ""Jet engine"": ""0.47"", ""Car"": ""0.32"", ""Outside, urban or manmade"": ""0.30""}",{},Sounds of an aircraft capable of flight using wings that generate lift caused by the vehicle's forward airspeed and the shape of the wings.
,,Non-motorized land vehicle,,,,,True,,,,,Sounds of human-powered vehicles used on roads or elsewhere on land.
,,,Bicycle,,,Велосипед,False,"101,19,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Outside, urban or manmade"": ""0.41"", ""Flap"": ""0.40"", ""Gurgling"": ""0.39"", ""Outside, rural or natural"": ""0.37"", ""Boat, Water vehicle"": ""0.31"", ""Fire"": ""0.31"", ""Wind"": ""0.30""}",{},"Sounds of a human-powered, pedal-driven vehicle, having two wheels attached to a frame, one behind the other."
,,,,Bicycle bell,,Велосипедный колокол,False,"356,80,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Sounds of things/Bell/Bicycle bell"" and ""Sounds of things/Alarm/Bicycle bell"" and ""Music/Musical instrument/Bell/Bicycle bell""",{},{},The sound of a percussive signaling instrument mounted on a bicycle for warning pedestrians and other cyclists.
,,,Skateboard,,,Скейтборд,False,"45,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,{},{},"Sounds of a type of sports equipment consisting of a board mounted on two pairs of wheels. A skateboard is typically propelled by pushing with one foot while the other remains on the board, or by simply standing on the deck while on a downward slope and allowing gravity to propel the board and rider."
,Engine,,,,,Двигатель,False,"136,47,21,16,4,2,4,1,1,0,0,0,0,0,0,0,0,0,0",,"{""Vibration"": ""0.87"", ""Vehicle"": ""0.58"", ""Car"": ""0.50"", ""Motor vehicle (road)"": ""0.48"", ""Truck"": ""0.47"", ""Clatter"": ""0.40"", ""Rattle"": ""0.39"", ""Motorcycle"": ""0.33"", ""Bus"": ""0.30""}",{},"The sound of a machine designed to produce mechanical energy. Combustion engines burn a fuel to create heat, which then creates a force. Electric motors convert electrical energy into mechanical motion. Other classes of engines include pneumatic motors and clockwork motors."
,,Jet engine,,,,Реактивный двигатель,False,"7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Sounds of things/Vehicle/Aircraft/Aircraft engine/Jet engine""","{""Aircraft"": ""0.49"", ""Aircraft engine"": ""0.49"", ""Fixed-wing aircraft, airplane"": ""0.47""}",{},The sound of an internal combustion airbreathing engine that generates thrust by discharging a fast-moving jet of gas. Jet aircraft use such engines for long-distance travel.
,,Light engine (high frequency),,,,Легкий двигатель (высокая частота),False,"12,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Vibration"": ""0.39"", ""Idling"": ""0.31""}",{},"The sound of a small engine such as a toy car, sewing machine, or moped."
,,,"Dental drill, dentist's drill",,,"Стоматологическая бормашина, бормашина",False,"23,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","""Sounds of things/Tools/Power tool/Drill/Dental drill, dentist's drill""","{""Tools"": ""0.45"", ""Drill"": ""0.40"", ""Power tool"": ""0.39""}",{},"The sound of a small, high-speed drill used during dental procedures, usually to remove decay and shape tooth structure prior to the insertion of a filling or crown."
,,,Lawn mower,,,Газонокосилка,False,"40,11,7,7,3,0,1,0,4,0,0,0,0,0,1,0,0,0,0",,"{""Motorcycle"": ""0.34""}",{},"The sound of a machine utilizing one or more revolving blades to cut grass, powered by an electric motor, a small internal combustion engine, or by a human pushing the machine."
,,,Chainsaw,,,Бензопила,False,"14,10,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0",,{},{},The sound of a portable mechanical saw which cuts with a set of teeth attached to a rotating chain. Chainsaws are commonly powered by a small two-stroke internal combustion engine.
,,Medium engine (mid frequency),,,,Средний двигатель (средняя частота),False,"74,12,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Idling"": ""0.84"", ""Heavy engine (low frequency)"": ""0.73"", ""Vibration"": ""0.72"", ""Accelerating, revving, vroom"": ""0.70"", ""Vehicle"": ""0.62"", ""Clatter"": ""0.59"", ""Car"": ""0.57"", ""Motor vehicle (road)"": ""0.53"", ""Engine starting"": ""0.51"", ""Engine knocking"": ""0.50"", ""Truck"": ""0.48"", ""Motorcycle"": ""0.45"", ""Whir"": ""0.38"", ""Car passing by"": ""0.35"", ""Rattle"": ""0.34"", ""Motorboat, speedboat"": ""0.31""}",{},"The sound of a moderately-sized engine such as that which powers a motorcycle, sedan, or small truck."
,,Heavy engine (low frequency),,,,Тяжелый двигатель (низкая частота),False,"29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Idling"": ""0.73"", ""Medium engine (mid frequency)"": ""0.73"", ""Vibration"": ""0.66"", ""Truck"": ""0.65"", ""Vehicle"": ""0.64"", ""Motor vehicle (road)"": ""0.49"", ""Bus"": ""0.47"", ""Car"": ""0.46"", ""Accelerating, revving, vroom"": ""0.43"", ""Clatter"": ""0.40"", ""Engine knocking"": ""0.37"", ""Air brake"": ""0.36"", ""Motorboat, speedboat"": ""0.34"", ""Aircraft"": ""0.33"", ""Propeller, airscrew"": ""0.33"", ""Engine starting"": ""0.30""}",{},"The sound of a large, heavy-duty internal combustion engine, such as that which powers a large truck, locomotive, or ship.  Jet engines, steam engines, rocket engines etc. are excluded."
,,Engine knocking,,,,Стук двигателя,False,"23,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0",,"{""Vibration"": ""0.71"", ""Idling"": ""0.67"", ""Medium engine (mid frequency)"": ""0.50"", ""Heavy engine (low frequency)"": ""0.37"", ""Engine starting"": ""0.37"", ""Rattle"": ""0.31""}",{},"A metallic ""pinging"" sound caused by a malfunctioning spark-ignited internal combustion engine. Engine knocking indicates that the combustion of the air/fuel mixture in the cylinder is occurring at the wrong point in the piston's stroke."
,,Engine starting,,,,Запуск двигателя,False,"17,9,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Medium engine (mid frequency)"": ""0.51"", ""Idling"": ""0.48"", ""Vibration"": ""0.40"", ""Engine knocking"": ""0.37"", ""Heavy engine (low frequency)"": ""0.30""}",{},"The sound of an engine starting from rest, which may involve a specific starter mechanism (as in a standard car)."
,,Idling,,,,Холостой ход,False,"73,21,15,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,"{""Vibration"": ""0.90"", ""Medium engine (mid frequency)"": ""0.84"", ""Heavy engine (low frequency)"": ""0.73"", ""Engine knocking"": ""0.67"", ""Truck"": ""0.49"", ""Engine starting"": ""0.48"", ""Vehicle"": ""0.46"", ""Motor vehicle (road)"": ""0.36"", ""Car"": ""0.36"", ""Accelerating, revving, vroom"": ""0.35"", ""Clatter"": ""0.34"", ""Rattle"": ""0.34"", ""Light engine (high frequency)"": ""0.31"", ""Motorcycle"": ""0.31""}",{},The sound of an engine (typically in an automobile) running without any load and at minimal RPM.
